State (Emission order)	H3K04me1	H3K04me2	H3K04me3	H3K27ac	H3K09ac	H3K79me2	H4K20me1	H3K36me3	H3K09me3	H3K27me3
1	0.0022192987161762574	9.861091255984088E-4	1.4375297515766028E-5	8.632294366991782E-5	2.5317851380228163E-5	7.501448077645383E-5	0.007380320681543504	3.673540287296559E-4	0.014378714079188651	0.39418010467171233
2	0.001369224575857024	3.506423513089686E-4	3.217420977016989E-5	1.1308744913732395E-4	4.766647457421028E-5	1.9138999253910384E-4	0.0015666524241586084	9.693881685117363E-4	0.0052218850736058505	0.0049331364180255485
3	9.521581920563097E-4	2.1962405991190727E-4	2.2378959858357624E-4	7.556687613808128E-5	4.596569349733645E-5	2.305788692181232E-4	0.0020455365775008338	0.007896473175652842	0.30250659607578273	0.00561830893860967
4	0.02549183873133205	0.0031306371900240966	0.019612857805608407	0.0024323315132710075	0.004687644095876077	0.2223166483837941	0.04455102131725735	0.6335458698329074	0.7836689736782926	0.0010506304652441378
5	0.012178849226312965	1.1390708219343863E-4	1.5052903109672008E-5	6.920096787040623E-4	3.2703817464618075E-4	0.035645996824173826	0.021533411365638515	0.2110768922186962	0.002249363650786056	4.10367699155609E-5
6	0.04697186869513783	5.050726764899544E-4	5.078374497021582E-5	9.131452288731843E-4	4.757394853702641E-4	0.6683343815490945	0.10932039009528098	0.21080483798571228	0.008682884335118103	7.450394910811095E-5
7	0.8043152251466178	0.2374551353094185	0.019566452879699686	0.064075870225179	0.06885866845253544	0.8878222238616782	0.2294630883741258	0.28000696175292344	0.010120184313346235	9.813862218096121E-5
8	0.5102280316525115	0.020609178887829302	6.158430802804911E-4	0.014084431133912797	0.01141824011070582	0.011526009787675815	0.004910438855821102	0.015584580539239591	0.009297931182148216	0.0012939868493578562
9	0.9407492146756732	0.3356392898800489	0.0210294015400781	0.5466947852748198	0.6182022225003014	0.07338357444938172	0.00766706273285612	0.10996231514455142	0.03651940695216587	1.8951180702081482E-4
10	0.9452515313730405	0.9999996409169121	0.8226082673808022	0.8869795404434654	0.9631480233135072	0.05255116992305938	0.004174999045215054	0.01235748389011222	0.004558109317223664	0.0036029810791004383
11	0.03954951040192886	0.805989113050245	0.9826380311598732	0.9769303761455921	0.9582491010551221	0.018316393520882563	7.611789370869323E-4	0.001092486876080243	0.005365836703201507	0.027906818896410023
12	0.06246818614775189	0.9405818332854536	1.0	0.99300972230243	0.9989250233216858	0.9834025616687756	0.06937917442586654	0.09521086674169343	0.005692275811283871	0.0017056005658036347
13	0.9351329406256886	0.9743781326309028	0.73616368259512	0.7461325131244779	0.8476187020686589	0.9638662930067005	0.1707268749397887	0.2501760172684304	0.009279120250691275	1.7530647098406055E-4
14	0.8645573270935953	0.9446308729382716	0.20794683538473768	0.08661872756382168	0.15256639847554115	0.016713058540037337	0.005584158026309684	0.010415742410804922	0.005745389673441092	0.001259365264020504
15	0.2033896400372097	0.7645923838467299	0.438259741001382	0.11590420103044966	0.07733493619696909	0.007421834297154194	0.015409553000261653	0.00240663746722432	0.02794841403193409	0.2550704703567395
