15	10	E	-9223384.010276219	163
probinit	1	1.4688562E-315
probinit	2	1.0
probinit	3	8.430658607881389E-231
probinit	4	0.0
probinit	5	0.0
probinit	6	0.0
probinit	7	0.0
probinit	8	2.0186379536449993E-263
probinit	9	0.0
probinit	10	0.0
probinit	11	0.0
probinit	12	0.0
probinit	13	0.0
probinit	14	0.0
probinit	15	0.0
transitionprobs	1	1	0.9609532979011741
transitionprobs	1	2	0.03321106630688323
transitionprobs	1	3	0.0014241498205191446
transitionprobs	1	4	0.0
transitionprobs	1	5	0.0
transitionprobs	1	6	0.0
transitionprobs	1	7	0.0
transitionprobs	1	8	5.698394109540862E-5
transitionprobs	1	9	0.0
transitionprobs	1	10	0.0
transitionprobs	1	11	0.0
transitionprobs	1	12	0.0
transitionprobs	1	13	0.0
transitionprobs	1	14	0.0
transitionprobs	1	15	0.004354502030327958
transitionprobs	2	1	0.004324582636667982
transitionprobs	2	2	0.9809399308526674
transitionprobs	2	3	0.005588234049463496
transitionprobs	2	4	0.0
transitionprobs	2	5	5.855053103891099E-4
transitionprobs	2	6	0.0
transitionprobs	2	7	0.0
transitionprobs	2	8	0.006876200595546209
transitionprobs	2	9	0.0
transitionprobs	2	10	1.1834894253820878E-4
transitionprobs	2	11	1.0049017626281296E-4
transitionprobs	2	12	1.6416257203523128E-6
transitionprobs	2	13	1.9684957584532473E-6
transitionprobs	2	14	5.089308458121536E-4
transitionprobs	2	15	9.541664691739513E-4
transitionprobs	3	1	0.0022208490012883293
transitionprobs	3	2	0.068362063646499
transitionprobs	3	3	0.9212638072442074
transitionprobs	3	4	0.004973934403373655
transitionprobs	3	5	0.0
transitionprobs	3	6	0.0
transitionprobs	3	7	0.0
transitionprobs	3	8	0.0019234165897473246
transitionprobs	3	9	2.3721293239283765E-4
transitionprobs	3	10	1.6372695216612847E-5
transitionprobs	3	11	5.698375362786339E-5
transitionprobs	3	12	6.976567934772686E-6
transitionprobs	3	13	1.0104826657977939E-6
transitionprobs	3	14	8.575830234986418E-5
transitionprobs	3	15	8.516143806964484E-4
transitionprobs	4	1	3.601682015119017E-7
transitionprobs	4	2	0.0
transitionprobs	4	3	0.050931791502969906
transitionprobs	4	4	0.8486036286866395
transitionprobs	4	5	0.07244207871205569
transitionprobs	4	6	0.01702573274137828
transitionprobs	4	7	0.001440888729610575
transitionprobs	4	8	0.0038560283532495525
transitionprobs	4	9	0.0033817878641918017
transitionprobs	4	10	0.0
transitionprobs	4	11	0.0
transitionprobs	4	12	1.225599231957644E-4
transitionprobs	4	13	9.97346293842277E-4
transitionprobs	4	14	1.2305497878536294E-4
transitionprobs	4	15	0.001074742045879823
transitionprobs	5	1	0.0
transitionprobs	5	2	0.0059048270512290935
transitionprobs	5	3	0.0
transitionprobs	5	4	0.005966918191463361
transitionprobs	5	5	0.9651195710994905
transitionprobs	5	6	0.011029648509367282
transitionprobs	5	7	0.0018142167913301303
transitionprobs	5	8	0.008506688699728485
transitionprobs	5	9	0.0011531190976450656
transitionprobs	5	10	3.5392535420543803E-6
transitionprobs	5	11	6.595337237140224E-5
transitionprobs	5	12	2.2682175687927054E-5
transitionprobs	5	13	1.6955297456386535E-4
transitionprobs	5	14	9.155624120887326E-5
transitionprobs	5	15	1.5172654237205157E-4
transitionprobs	6	1	0.0
transitionprobs	6	2	0.0
transitionprobs	6	3	0.0
transitionprobs	6	4	0.0032686909781942095
transitionprobs	6	5	0.02590214722721434
transitionprobs	6	6	0.9114925208635629
transitionprobs	6	7	0.056395224936965645
transitionprobs	6	8	3.037012514333714E-4
transitionprobs	6	9	0.0
transitionprobs	6	10	9.373178438720314E-6
transitionprobs	6	11	1.7461480446964657E-5
transitionprobs	6	12	2.3335898326402272E-4
transitionprobs	6	13	0.002234135528703352
transitionprobs	6	14	0.0
transitionprobs	6	15	1.4338557177638204E-4
transitionprobs	7	1	0.0
transitionprobs	7	2	0.0
transitionprobs	7	3	0.0
transitionprobs	7	4	7.329139220469818E-4
transitionprobs	7	5	0.011755749574194023
transitionprobs	7	6	0.153129214627341
transitionprobs	7	7	0.7550511228477672
transitionprobs	7	8	0.00980160243202766
transitionprobs	7	9	0.0020082609959638704
transitionprobs	7	10	0.0
transitionprobs	7	11	0.0
transitionprobs	7	12	4.108818160171895E-4
transitionprobs	7	13	0.06491976236266245
transitionprobs	7	14	0.0018726453645715087
